Links,Title,Address,Price,Floor,Living area,Rooms
https://www.otodom.pl/pl/oferta/2-pokoje-idealne-na-studia-centrum-krakowa-z-opcja-inwestycyjna-ID4xYe0,2 pokoje idealne na studia | centrum Krakowa | z opcją inwestycyjną,"al. Juliusza Słowackiego, Krowodrza, Krowodrza, Kraków, małopolskie",789000.0,parter,51.0,2 pokoje
https://www.otodom.pl/pl/oferta/bardzo-dobra-cena-50-m2-3-pokoje-ID4xYdw,Bardzo dobra cena/50 m2/3 pokoje,"ul. Sowia, Łagiewniki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",790000.0,2 piętro,50.0,3 pokoje
https://www.otodom.pl/pl/oferta/bezposrednio-gotowe-do-zamieszkania-m-postojowe-i-komorka-w-cenie-ID4xYdn,Bezpośrednio | Gotowe do zamieszkania | m. postojowe i komórka w cenie,"ul. Górników, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",600000.0,parter,31.51,2 pokoje
https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-46m2-ID4xYbT,Nowoczesne 2 pokojowe mieszkanie 46m2,"os. Złocień, Złocień, Bieżanów-Prokocim, Kraków, małopolskie",675000.0,3 piętro,46.0,2 pokoje
https://www.otodom.pl/pl/oferta/plaszow-3pokoje-placisz-teraz20-przy-odbiorze80-ID4xYb5,Płaszów 3pokoje płacisz teraz20% przy odbiorze80%,"ul. Półłanki, Rybitwy, Podgórze, Kraków, małopolskie",726939.0,2 piętro,65.49,3 pokoje
https://www.otodom.pl/pl/oferta/mistrzejowice-3-pokoje-56-19m2-klucze-koniec-2026-ID4xYb3,"Mistrzejowice 3 pokoje 56,19m2 klucze koniec 2026!","ul. Powstańców, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",724851.0,1 piętro,56.19,3 pokoje
https://www.otodom.pl/pl/oferta/pradnik-czerwony-przestronne-2pokoje-klucze-w-2026-ID4xYb4,Prądnik Czerwony przestronne 2pokoje klucze w 2026,"al. 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",643200.0,1 piętro,42.88,2 pokoje
https://www.otodom.pl/pl/oferta/mistrzejowice-3-pokoje-klucze-na-koniec-2026-ID4xYb2,Mistrzejowice 3 pokoje klucze na koniec 2026!,"ul. Powstańców, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",676643.0,1 piętro,49.39,3 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-podgorzu-duchackim-ID4xYax,2 pokojowe mieszkanie na Podgórzu Duchackim,"Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",560000.0,8 piętro,35.0,2 pokoje
https://www.otodom.pl/pl/oferta/aktualne-3-pokoje-kazimierz-gotowe-ID4xYat,AKTUALNE 3 Pokoje Kazimierz Gotowe,"ul. Prochowa, Grzegórzki, Grzegórzki, Kraków, małopolskie",1240000.0,2 piętro,51.0,3 pokoje
